	dataset	Scientific_name	description	version	Scientific_common_name
70	gevgoodei_gene_ensembl	Gopherus_evgoodei	Goodes thornscrub tortoise	rGopEvg1_v1.p	Gopherus_evgoodei (Goodes thornscrub tortoise)
71	gfortis_gene_ensembl	Geospiza_fortis	Medium ground-finch	GeoFor_1.0	Geospiza_fortis (Medium ground-finch)
73	ggorilla_gene_ensembl	Gorilla gorilla	Gorilla	gorGor4	Gorilla gorilla (Gorilla)
74	gmorhua_gene_ensembl	Gadus_morhua	Atlantic cod	gadMor3.0	Gadus_morhua (Atlantic cod)
75	hburtoni_gene_ensembl	Astatotilapia burtoni	Burton's mouthbrooder	AstBur1.0	Astatotilapia burtoni (Burton's mouthbrooder)
76	hcomes_gene_ensembl	Hippocampus comes	Tiger tail seahorse	H_comes_QL1_v1	Hippocampus comes (Tiger tail seahorse)
77	hgfemale_gene_ensembl	Heterocephalus glaber female	Naked mole-rat female	HetGla_female_1.0	Heterocephalus glaber female (Naked mole-rat female)
78	hhucho_gene_ensembl	Hucho hucho	Huchen	ASM331708v1	Hucho hucho (Huchen)
80	ipunctatus_gene_ensembl	Ictalurus_punctatus	Channel catfish	IpCoco_1.2	Ictalurus_punctatus (Channel catfish)
81	itridecemlineatus_gene_ensembl	Ictidomys_tridecemlineatus	Squirrel	SpeTri2.0	Ictidomys_tridecemlineatus (Squirrel)
82	jjaculus_gene_ensembl	Jaculus jaculus	Lesser Egyptian jerboa	JacJac1.0	Jaculus jaculus (Lesser Egyptian jerboa)
83	kmarmoratus_gene_ensembl	Kryptolebias_marmoratus	Mangrove rivulus	ASM164957v1	Kryptolebias_marmoratus (Mangrove rivulus)
84	lafricana_gene_ensembl	Loxodonta_africana	Elephant	Loxafr3.0	Loxodonta_africana (Elephant)
85	lbergylta_gene_ensembl	Labrus_bergylta	Ballan wrasse	BallGen_V1	Labrus_bergylta (Ballan wrasse)
86	lcalcarifer_gene_ensembl	Lates_calcarifer	Barramundi perch	ASB_HGAPassembly_v1	Lates_calcarifer (Barramundi perch)
87	lchalumnae_gene_ensembl	Latimeria_chalumnae	Coelacanth	LatCha1	Latimeria_chalumnae (Coelacanth)
88	lcrocea_gene_ensembl	Larimichthys_crocea	Large yellow croaker	L_crocea_2.0	Larimichthys_crocea (Large yellow croaker)
89	llaticaudata_gene_ensembl	Laticauda_laticaudata	Blue-ringed sea krait	latLat_1.0	Laticauda_laticaudata (Blue-ringed sea krait)
90	lleishanense_gene_ensembl	Leptobrachium leishanense	Leishan spiny toad	ASM966780v1	Leptobrachium leishanense (Leishan spiny toad)
91	loculatus_gene_ensembl	Lepisosteus_oculatus	Spotted gar	LepOcu1	Lepisosteus_oculatus (Spotted gar)
92	marmatus_gene_ensembl	Mastacembelus_armatus	Zig-zag eel	fMasArm1.2	Mastacembelus_armatus (Zig-zag eel)
93	mauratus_gene_ensembl	Mesocricetus_auratus	Golden Hamster	MesAur1.0	Mesocricetus_auratus (Golden Hamster)
94	mcaroli_gene_ensembl	Mus_caroli	Ryukyu mouse	CAROLI_EIJ_v1.1	Mus_caroli (Ryukyu mouse)
95	mdomestica_gene_ensembl	Monodelphis_domestica	Opossum	ASM229v1	Monodelphis_domestica (Opossum)
96	mfascicularis_gene_ensembl	Macaca_fascicularis	Crab-eating macaque	Macaca_fascicularis_6.0	Macaca_fascicularis (Crab-eating macaque)
97	mgallopavo_gene_ensembl	Meleagris_gallopavo	Turkey	Turkey_5.1	Meleagris_gallopavo (Turkey)
98	mleucophaeus_gene_ensembl	Mandrillus_leucophaeus	Drill	Mleu.le_1.0	Mandrillus_leucophaeus (Drill)
99	mlucifugus_gene_ensembl	Myotis_lucifugus	Microbat	Myoluc2.0	Myotis_lucifugus (Microbat)
100	mmmarmota_gene_ensembl	Marmota marmota	Alpine marmot	marMar2.1	Marmota marmota (Alpine marmot)
101	mmonoceros_gene_ensembl	Metapenaeus_monoceros	Narwhal	NGI_Narwhal_1	Metapenaeus_monoceros (Narwhal)
102	mmoschiferus_gene_ensembl	Moschus_moschiferus	Siberian musk deer	MosMos_v2_BIUU_UCD	Moschus_moschiferus (Siberian musk deer)
104	mmurdjan_gene_ensembl	Myripristis_murdjan	Pinecone soldierfish	fMyrMur1.1	Myripristis_murdjan (Pinecone soldierfish)
105	mmurinus_gene_ensembl	Microcebus_murinus	Mouse Lemur	Mmur_3.0	Microcebus_murinus (Mouse Lemur)
107	mnemestrina_gene_ensembl	Macaca_nemestrina	Pig-tailed macaque	Mnem_1.0	Macaca_nemestrina (Pig-tailed macaque)
108	mochrogaster_gene_ensembl	Microtus_ochrogaster	Prairie vole	MicOch1.0	Microtus_ochrogaster (Prairie vole)
109	mpahari_gene_ensembl	Mus_pahari	Shrew mouse	PAHARI_EIJ_v1.1	Mus_pahari (Shrew mouse)
110	mpfuro_gene_ensembl	Mustela putorius furo	Ferret	MusPutFur1.0	Mustela putorius furo (Ferret)
111	mspicilegus_gene_ensembl	Mus_spicilegus	Steppe mouse	MUSP714	Mus_spicilegus (Steppe mouse)
112	mspretus_gene_ensembl	Mus_spretus	Algerian mouse	SPRET_EiJ_v1	Mus_spretus (Algerian mouse)
113	mzebra_gene_ensembl	Maylandia_zebra	Zebra mbuna	M_zebra_UMD2a	Maylandia_zebra (Zebra mbuna)
114	nbrichardi_gene_ensembl	Neolamprologus_brichardi	Lyretail cichlid	NeoBri1.0	Neolamprologus_brichardi (Lyretail cichlid)
115	neugenii_gene_ensembl	Notamacropus_eugenii	Wallaby	Meug_1.0	Notamacropus_eugenii (Wallaby)
116	nfurzeri_gene_ensembl	Nothobranchius_furzeri	Turquoise killifish	Nfu_20140520	Nothobranchius_furzeri (Turquoise killifish)
117	ngalili_gene_ensembl	Nannospalax_galili	Upper Galilee mountains blind mole rat	S.galili_v1.0	Nannospalax_galili (Upper Galilee mountains blind mole rat)
118	nleucogenys_gene_ensembl	Nomascus_leucogenys	Gibbon	Nleu_3.0	Nomascus_leucogenys (Gibbon)
119	nnaja_gene_ensembl	Naja naja	Indian cobra	Nana_v5	Naja naja (Indian cobra)
120	nscutatus_gene_ensembl	Notechis_scutatus	Mainland tiger snake	TS10Xv2-PRI	Notechis_scutatus (Mainland tiger snake)
121	nvison_gene_ensembl	Neogale vison	American mink	NNQGG.v01	Neogale vison (American mink)
122	oanatinus_gene_ensembl	Ornithorhynchus_anatinus	Platypus	mOrnAna1.p.v1	Ornithorhynchus_anatinus (Platypus)
123	oarambouillet_gene_ensembl	Ovis aries rambouillet	Sheep	Oar_rambouillet_v1.0	Ovis aries rambouillet (Sheep)
124	oaries_gene_ensembl	Ovis_aries	Sheep (texel)	Oar_v3.1	Ovis_aries (Sheep (texel))
125	ocuniculus_gene_ensembl	Oryctolagus_cuniculus	Rabbit	OryCun2.0	Oryctolagus_cuniculus (Rabbit)
126	odegus_gene_ensembl	Octodon_degus	Degu	OctDeg1.0	Octodon_degus (Degu)
127	ogarnettii_gene_ensembl	Otolemur_garnettii	Bushbaby	OtoGar3	Otolemur_garnettii (Bushbaby)
128	ojavanicus_gene_ensembl	Oryzias_javanicus	Javanese ricefish	OJAV_1.1	Oryzias_javanicus (Javanese ricefish)
129	okisutch_gene_ensembl	Oncorhynchus_kisutch	Coho salmon	Okis_V2	Oncorhynchus_kisutch (Coho salmon)
130	olatipes_gene_ensembl	Oryzias_latipes	Japanese medaka HdrR	ASM223467v1	Oryzias_latipes (Japanese medaka HdrR)
131	omelastigma_gene_ensembl	Oryzias_melastigma	Indian medaka	Om_v0.7.RACA	Oryzias_melastigma (Indian medaka)
132	omykiss_gene_ensembl	Oncorhynchus mykiss	Rainbow trout	USDA_OmykA_1.1	Oncorhynchus mykiss (Rainbow trout)
133	oniloticus_gene_ensembl	Oreochromis niloticus	Nile tilapia	O_niloticus_UMD_NMBU	Oreochromis niloticus (Nile tilapia)
134	oprinceps_gene_ensembl	Ochotona_princeps	Pika	OchPri2.0-Ens	Ochotona_princeps (Pika)
135	osinensis_gene_ensembl	Cordyceps_sinensis	Chinese medaka	ASM858656v1	Cordyceps_sinensis (Chinese medaka)
136	otshawytscha_gene_ensembl	Oncorhynchus_tshawytscha	Chinook salmon	Otsh_v1.0	Oncorhynchus_tshawytscha (Chinook salmon)
137	pabelii_gene_ensembl	Pongo_abelii	Sumatran orangutan	Susie_PABv2	Pongo_abelii (Sumatran orangutan)
138	panubis_gene_ensembl	Papio_anubis	Olive baboon	Panubis1.0	Papio_anubis (Olive baboon)
139	pcapensis_gene_ensembl	Procavia_capensis	Hyrax	proCap1	Procavia_capensis (Hyrax)
140	pcatodon_gene_ensembl	Physeter_catodon	Sperm whale	ASM283717v2	Physeter_catodon (Sperm whale)
141	pcinereus_gene_ensembl	Phascolarctos cinereus	Koala	phaCin_unsw_v4.1	Phascolarctos cinereus (Koala)
142	pcoquereli_gene_ensembl	Propithecus_coquereli	Coquerel's sifaka	Pcoq_1.0	Propithecus_coquereli (Coquerel's sifaka)
143	pformosa_gene_ensembl	Poecilotheria formosa	Amazon molly	Poecilia_formosa-5.1.2	Poecilotheria formosa (Amazon molly)
144	pkingsleyae_gene_ensembl	Paramormyrops_kingsleyae	Paramormyrops kingsleyae	PKINGS_0.1	Paramormyrops_kingsleyae (Paramormyrops kingsleyae)
145	platipinna_gene_ensembl	Poecilia_latipinna	Sailfin molly	P_latipinna-1.0	Poecilia_latipinna (Sailfin molly)
146	pleo_gene_ensembl	Panthera leo	Lion	PanLeo1.0	Panthera leo (Lion)
147	pmajor_gene_ensembl	Parus_major	Great Tit	Parus_major1.1	Parus_major (Great Tit)
148	pmarinus_gene_ensembl	Petromyzon marinus	Lamprey	Pmarinus_7.0	Petromyzon marinus (Lamprey)
149	pmbairdii_gene_ensembl	Peromyscus maniculatus bairdii	Northern American deer mouse	HU_Pman_2.1	Peromyscus maniculatus bairdii (Northern American deer mouse)
150	pmuralis_gene_ensembl	Podarcis_muralis	Common wall lizard	PodMur_1.0	Podarcis_muralis (Common wall lizard)
151	pnattereri_gene_ensembl	Pygocentrus nattereri	Red-bellied piranha	Pygocentrus_nattereri-1.0.2	Pygocentrus nattereri (Red-bellied piranha)
152	pnyererei_gene_ensembl	Pundamilia Nyererei	Makobe Island cichlid	PunNye1.0	Pundamilia Nyererei (Makobe Island cichlid)
153	ppaniscus_gene_ensembl	Pan_paniscus	Bonobo	panpan1.1	Pan_paniscus (Bonobo)
154	ppardus_gene_ensembl	Panthera_pardus	Leopard	PanPar1.0	Panthera_pardus (Leopard)
155	preticulata_gene_ensembl	Poecilia reticulata	Guppy	Guppy_female_1.0_MT	Poecilia reticulata (Guppy)
156	psimus_gene_ensembl	Prolemur_simus	Greater bamboo lemur	Prosim_1.0	Prolemur_simus (Greater bamboo lemur)
157	psinensis_gene_ensembl	Pelodiscus sinensis	Chinese softshell turtle	PelSin_1.0	Pelodiscus sinensis (Chinese softshell turtle)
158	psinus_gene_ensembl	Phocoena_sinus	Vaquita	mPhoSin1.pri	Phocoena_sinus (Vaquita)
159	ptaltaica_gene_ensembl	Panthera tigris altaica	Tiger	PanTig1.0	Panthera tigris altaica (Tiger)
160	ptextilis_gene_ensembl	Pseudonaja_textilis	Eastern brown snake	EBS10Xv2-PRI	Pseudonaja_textilis (Eastern brown snake)
162	pvampyrus_gene_ensembl	Pteropus_vampyrus	Megabat	pteVam1	Pteropus_vampyrus (Megabat)
163	rbieti_gene_ensembl	Rhinopithecus_bieti	Black snub-nosed monkey	ASM169854v1	Rhinopithecus_bieti (Black snub-nosed monkey)
164	rferrumequinum_gene_ensembl	Rhinolophus_ferrumequinum	Greater horseshoe bat	mRhiFer1_v1.p	Rhinolophus_ferrumequinum (Greater horseshoe bat)
166	rroxellana_gene_ensembl	Rhinopithecus_roxellana	Golden snub-nosed monkey	Rrox_v1	Rhinopithecus_roxellana (Golden snub-nosed monkey)
167	saraneus_gene_ensembl	Sorex_araneus	Shrew	sorAra1	Sorex_araneus (Shrew)
168	saurata_gene_ensembl	Sparus_aurata	Gilthead seabream	fSpaAur1.1	Sparus_aurata (Gilthead seabream)
169	sbboliviensis_gene_ensembl	Saimiri_boliviensis	Bolivian squirrel monkey	SaiBol1.0	Saimiri_boliviensis (Bolivian squirrel monkey)
170	scanaria_gene_ensembl	Serinus_canaria	Common canary	SCA1	Serinus_canaria (Common canary)
171	scaustralis_gene_ensembl	Struthio camelus australis	African ostrich	ASM69896v1	Struthio camelus australis (African ostrich)
173	sdumerili_gene_ensembl	Seriola_dumerili	Greater amberjack	Sdu_1.0	Seriola_dumerili (Greater amberjack)
174	sformosus_gene_ensembl	Squalus formosus	Asian bonytongue	fSclFor1.1	Squalus formosus (Asian bonytongue)
175	sgrahami_gene_ensembl	Sinocyclocheilus_grahami	Golden-line barbel	SAMN03320097.WGS_v1.1	Sinocyclocheilus_grahami (Golden-line barbel)
176	shabroptila_gene_ensembl	Strigops_habroptilus	Kakapo	bStrHab1_v1.p	Strigops_habroptilus (Kakapo)
177	sharrisii_gene_ensembl	Sarcophilus_harrisii	Tasmanian devil	mSarHar1.11	Sarcophilus_harrisii (Tasmanian devil)
178	sldorsalis_gene_ensembl	Seriola lalandi dorsalis	Yellowtail amberjack	Sedor1	Seriola lalandi dorsalis (Yellowtail amberjack)
179	slucioperca_gene_ensembl	Sander_lucioperca	Pike-perch	SLUC_FBN_1	Sander_lucioperca (Pike-perch)
180	smaximus_gene_ensembl	Scophthalmus_maximus	Turbot	ASM1334776v1	Scophthalmus_maximus (Turbot)
181	smerianae_gene_ensembl	Salvator_merianae	Argentine black and white tegu	HLtupMer3	Salvator_merianae (Argentine black and white tegu)
182	spartitus_gene_ensembl	Stegastes_partitus	Bicolor damselfish	Stegastes_partitus-1.0.2	Stegastes_partitus (Bicolor damselfish)
183	spunctatus_gene_ensembl	Sphenodon_punctatus	Tuatara	ASM311381v1	Sphenodon_punctatus (Tuatara)
184	ssalar_gene_ensembl	Salmo_salar	Atlantic salmon	Ssal_v3.1	Salmo_salar (Atlantic salmon)
185	ssbamei_gene_ensembl	Sus scrofa_bamei	Pig - Bamei	Bamei_pig_v1	Sus scrofa_bamei (Pig - Bamei)
186	ssberkshire_gene_ensembl	Sus scrofa berkshire	Pig - Berkshire	Berkshire_pig_v1	Sus scrofa berkshire (Pig - Berkshire)
187	sscrofa_gene_ensembl	Sus_scrofa	Pig	Sscrofa11.1	Sus_scrofa (Pig)
188	sshampshire_gene_ensembl	Sus_scrofa hampshire	Pig - Hampshire	Hampshire_pig_v1	Sus_scrofa hampshire (Pig - Hampshire)
189	ssjinhua_gene_ensembl	Sus scrofa jinhua	Pig - Jinhua	Jinhua_pig_v1	Sus scrofa jinhua (Pig - Jinhua)
190	sslandrace_gene_ensembl	Sus scrofa landrace	Pig - Landrace	Landrace_pig_v1	Sus scrofa landrace (Pig - Landrace)
191	sslargewhite_gene_ensembl	Sus scrofa largewhite	Pig - Largewhite	Large_White_v1	Sus scrofa largewhite (Pig - Largewhite)
192	ssmeishan_gene_ensembl	Sus scrofa meishan	Pig - Meishan	Meishan_pig_v1	Sus scrofa meishan (Pig - Meishan)
193	sspietrain_gene_ensembl	Sus scrofa pietrain	Pig - Pietrain	Pietrain_pig_v1	Sus scrofa pietrain (Pig - Pietrain)
194	ssrongchang_gene_ensembl	Sus scrofa rongchang	Pig - Rongchang	Rongchang_pig_v1	Sus scrofa rongchang (Pig - Rongchang)
195	sstibetan_gene_ensembl	Sus scrofa tibetan	Pig - Tibetan	Tibetan_Pig_v2	Sus scrofa tibetan (Pig - Tibetan)
196	ssusmarc_gene_ensembl	Sus scrofa usmarc	Pig USMARC	USMARCv1.0	Sus scrofa usmarc (Pig USMARC)
197	sswuzhishan_gene_ensembl	Sus scrofa wuzhishan	Pig - Wuzhishan	minipig_v1.0	Sus scrofa wuzhishan (Pig - Wuzhishan)
198	strutta_gene_ensembl	Salmo_trutta	Brown trout	fSalTru1.1	Salmo_trutta (Brown trout)
199	svulgaris_gene_ensembl	Sciurus vulgaris	Eurasian red squirrel	mSciVul1.1	Sciurus vulgaris (Eurasian red squirrel)
200	tbelangeri_gene_ensembl	Tupaia_belangeri	Tree Shrew	tupBel1	Tupaia_belangeri (Tree Shrew)
201	tctriunguis_gene_ensembl	Terrapene_triunguis	Three-toed box turtle	T_m_triunguis-2.0	Terrapene_triunguis (Three-toed box turtle)
202	tguttata_gene_ensembl	Terrapene carolina triunguis	Zebra finch	bTaeGut1_v1.p	Terrapene carolina triunguis (Zebra finch)
203	tnigroviridis_gene_ensembl	Taeniopygia guttata	Tetraodon	TETRAODON 8.0	Taeniopygia guttata (Tetraodon)
204	trubripes_gene_ensembl	Takifugu_rubripes	Fugu	fTakRub1.2	Takifugu_rubripes (Fugu)
205	ttruncatus_gene_ensembl	Tursiops_truncatus	Dolphin	turTru1	Tursiops_truncatus (Dolphin)
206	uamericanus_gene_ensembl	Ursus_americanus	American black bear	ASM334442v1	Ursus_americanus (American black bear)
207	umaritimus_gene_ensembl	Ursus_maritimus	Polar bear	UrsMar_1.0	Ursus_maritimus (Polar bear)
208	uparryii_gene_ensembl	Urocitellus parryii	Arctic ground squirrel	ASM342692v1	Urocitellus parryii (Arctic ground squirrel)
209	vpacos_gene_ensembl	Vicugna_pacos	Alpaca	vicPac1	Vicugna_pacos (Alpaca)
210	vursinus_gene_ensembl	Vombatus_ursinus	Common wombat	bare-nosed_wombat_genome_assembly	Vombatus_ursinus (Common wombat)
211	vvulpes_gene_ensembl	Vulpes vulpes	Red fox	VulVul2.2	Vulpes vulpes (Red fox)
212	xmaculatus_gene_ensembl	Xiphophorus_maculatus	Platyfish	X_maculatus-5.0-male	Xiphophorus_maculatus (Platyfish)
213	xtropicalis_gene_ensembl	Xenopus_tropicalis	Tropical clawed frog	UCB_Xtro_10.0	Xenopus_tropicalis (Tropical clawed frog)
