"",gene_symbol,GSM2668081,GSM2668082,GSM2668083,GSM2668084,GSM2668085,GSM2668086,GSM2668087,GSM2668088,GSM2668089
ENSG00000226497,LOC101928280,0,0,0,0,0,0,0,0,0
ENSG00000226506,LOC101929551,0,0,0,0,0,0,0,0,0
ENSG00000226508,LINC01918,11.9267,15.2594,20.3681,8.8891,8.0755,25.1279,2.9564,1.984,6.9664
ENSG00000226510,UPK1A-AS1,33.6518,37.5464,32.2917,18.1408,15.1952,11.703,22.5453,15.5271,19.9819
ENSG00000226516,FAM138B,0,0,2.8048,0,4.4905,0,0,2.6926,0
ENSG00000226527,LOC101928107,0,0,0,0,0,0,0,0,0
ENSG00000226531,C6orf47,177.0385,252.782,111.4106,300.0951,105.114,207.9636,237.7251,231.0168,129.685
ENSG00000226550,LOC102725019,0,0,0,0,0,0,0,0,0
ENSG00000226560,C2,0.6471,0.5823,1.0323,1.1364,0.6887,1.5206,3.4818,1.9048,0.4332
ENSG00000226567,LINC00606,0,0,0,0,0,0,0,0,0
ENSG00000226572,SNORD57,0,0,0,0,0,0,0,0,0
ENSG00000226589,VARS,18.0677,17.8414,10.9013,19.8256,16.4394,23.4825,44.4519,36.8859,51.6276
ENSG00000226600,CT47A9,0,0,0,0,0,0,0,0,0
ENSG00000226603,LY6G6D,0.1418,0,0.4326,0.2852,0,0,0,0,0
ENSG00000226614,SLC39A7,900.4143,781.8264,748.8633,754.0359,769.2193,815.4668,993.9071,951.5131,1064.4558
ENSG00000226618,PRRC2A,247.5646,362.4644,451.468,519.005,236.309,340.509,1686.8482,1871.0338,1557.6491
ENSG00000226627,SHANK2-AS1,3.2226,0,2.3578,1.3602,0,0,5.5996,20.2938,13.948
ENSG00000226629,LINC00974,1.0006,1.997,0.9975,1.0029,0,0,0,1.0015,1.0004
ENSG00000226634,DDAH2,73.1009,93.2109,109.7707,154.8538,81.3581,51.9478,67.0478,88.6872,63.7087
ENSG00000226648,PLCG1-AS1,3.0291,3.02,6.4542,4.0273,2.014,6.0417,8.0042,14.0321,11.3182
ENSG00000226650,KIF4B,0,1.0072,0,0,0,1.9985,1.007,0,0
ENSG00000226651,CLIC1,3610.0779,2992.8273,2676.598,3810.4101,3576.1038,3492.5072,4027.7399,3643.8155,4397.5627
ENSG00000226659,LOC101929574,7.4258,6.5659,9.7613,0.984,7.1295,1.0065,12.842,2.266,10.5083
ENSG00000226673,LINC01108,1.0013,0.9973,0.9951,0,0,0,1.0044,0,1.0005
ENSG00000226674,TEX41,7.4382,14.1825,12.598,11.9156,11.7485,10.6746,23.2061,28.4681,22.9069
ENSG00000226676,LOC105378385,0.9985,0,0,0.2976,0,0,1.72,3.2438,2.4101
ENSG00000226685,CT47A12,0,0,0,0,0,0,0.9985,0,0
ENSG00000226686,LINC01535,12.1556,11.6065,18.6591,10.8331,9.2027,12.0797,8.3082,3.9833,13.1035
ENSG00000226687,LINC01015,0,0,0,0,0,0,0,0,0
