,characteristics,transfection
GSM2668087,untransfected_1,untransfected
GSM2668088,untransfected_2,untransfected
GSM2668089,untransfected_3,untransfected
GSM2668084,dCas9 3a3l_1,dCas9 3a3l
GSM2668085,dCas9 3a3l_2,dCas9 3a3l
GSM2668086,dCas9 3a3l_3,dCas9 3a3l
