,characteristics
Ctrl_1,Ctrl_1
Ctrl_2,Ctrl_2
SNF_1,SNF_1
SNF_2,SNF_2
NRF2KO-SFN_1,NRF2KO-SFN_1
NRF2KO-SFN_2,NRF2KO-SFN_2
