Gene	Group
SYNGR3	example2
ARHGDIB	example2
CNTNAP3B	example2
HES1	example2
PHLDB2	example2
CACNB3	example2
LTBP2	example2
CCDC107	example2
ACPP	example2
KATNAL1	example2
MFAP2	example2
PPM1J	example2
CRNDE	example2
MVK	example2
MARCH2	example2
IAH1	example2
SFT2D2	example2
LMF1	example2
JOSD2	example2
PXMP2	example2
SEMA4F	example2
FIS1	example2
SLC16A7	example2
MTRNR2L9	example2
VKORC1	example2
TIA1	example2
ANP32E	example2
CUX1	example2
SPOCK1	example2
SLC7A7	example2
AP3B2	example2
ATP1B3	example2
WDR54	example2
PCLO	example2
SRI	example2
PXMP4	example2
CARHSP1	example2
MEGF8	example2
POF1B	example2
PRICKLE1	example2
MOB3B	example2
STMN1	example2
COL17A1	example2
SUCLG2	example2
PYROXD2	example2
C2CD4C	example2
HMGCS1	example2
ALDH16A1	example2
GDPD5	example2
AP5S1	example2
SIK1	example2
HMGN3	example2
HOXA3	example2
KLC4	example2
MCC	example2
CALM3	example2
NLRX1	example2
COQ7	example2
SPACA6P	example2
PTRHD1	example2
HGSNAT	example2
STK11IP	example2
NCS1	example2
NID1	example2
COL12A1	example2
GPX4	example2
HOXA5	example2
CERS6	example2
FSTL3	example2
HMGN5	example2
MXI1	example2
SCRN2	example2
ALAD	example2
KIAA0101	example2
BBS9	example2
FBXW9	example2
ARL2	example2
C19orf60	example2
FAM117A	example2
ORAI2	example2
BMP1	example2
ALPPL2	example2
GATA2-AS1	example2
ANO8	example2
ECH1	example2
VEPH1	example2
ADGRB2	example2
HIBADH	example2
KIAA1161	example2
FGFBP1	example2
IKZF2	example2
SBF2-AS1	example2
GADD45B	example2
RTEL1	example2
RNASET2	example2
TAF9B	example2
C21orf58	example2
CNTNAP3	example2
KAT5	example2
CCNG2	example2
CDKN2D	example2
CREB3L4	example2
INPPL1	example2
TCTEX1D2	example2
LYSMD4	example2
LARGE	example2
KCNJ15	example2
SYNE2	example2
FUK	example2
FLJ37453	example2
KDM1A	example2
PRRG4	example2
TRIQK	example2
C17orf59	example2
RTN4R	example2
KIAA1328	example2
SPARC	example2
ABCA5	example2
STK38	example2
MMRN2	example2
AKR1A1	example2
SIRPA	example2
PAPSS2	example2
OGFOD3	example2
GALNT2	example2
PCIF1	example2
CAMK2N2	example2
NR2F1	example2
KIF24	example2
TBCK	example2
ARAP3	example2
PTPN13	example2
FAM131A	example2
MAPKBP1	example2
DDB2	example2
ARFRP1	example2
ITGB4	example2
HAP1	example2
SCMH1	example2
ANO9	example2
LRTOMT	example2
PQLC3	example2
ETHE1	example2
MRPL54	example2
EFHC1	example2
ING4	example2
C4orf33	example2
CDK5	example2
RRAS	example2
PIDD1	example2
KLK10	example2
TMSB4X	example2
TMEM254	example2
CHD3	example2
PAPSS1	example2
YIF1B	example2
PCSK9	example2
USP32P1	example2
LAMB2	example2
MLLT3	example2
PAK1	example2
COL6A1	example2
MSI2	example2
LOC100505666	example2
SSBP4	example2
SEC14L2	example2
RGS12	example2
MAPK10	example2
CACNG6	example2
TMEM231	example2
ZDHHC12	example2
CRYL1	example2
SCCPDH	example2
TKFC	example2
FAM127A	example2
ZNF32	example2
IFT122	example2
TBC1D17	example2
ASCC3	example2
MPP1	example2
FOXN3	example2
MID1IP1	example2
MYH14	example2
TBCB	example2
MGMT	example2
IQCE	example2
SLX1A	example2
SLX1B	example2
GTF2IP1	example2
LIPA	example2
NFASC	example2
C16orf62	example2
HYAL3	example2
TTC30B	example2
NDRG2	example2
PHPT1	example2
MICALL1	example2
BCAS4	example2
C14orf159	example2
SHMT1	example2
PSIP1	example2
PARD6G	example2
SFMBT2	example2
PITPNM3	example2
H2AFJ	example2
BPGM	example2
COBLL1	example2
MRPL27	example2
AGPS	example2
PLEKHH3	example2
CRAT	example2
KRT16	example2
C1RL	example2
PIK3R2	example2
RBPMS	example2
CHCHD5	example2
SUMF2	example2
TENM4	example2
ENDOD1	example2
TMEM102	example2
EFNB1	example2
STX2	example2
CD151	example2
HSD3B7	example2
PNMA1	example2
RRM2	example2
HAGHL	example2
FDXR	example2
P4HTM	example2
GSTZ1	example2
MX1	example2
FZD6	example2
TMTC4	example2
ADAM23	example2
ARHGEF10L	example2
DSG3	example2
TCEAL3	example2
DUOXA1	example2
SVBP	example2
SERPINB13	example2
GPR137B	example2
TUBB	example2
MOB3A	example2
CD24	example2
BLMH	example2
CTDSPL	example2
MAP3K6	example2
MIPEP	example2
LRSAM1	example2
TJP3	example2
ASAP3	example2
ARHGAP23	example2
DGCR5	example2
