Gene	Group
TNFAIP3	example1
ZFP14	example1
PPL	example1
C12orf76	example1
LPIN3	example1
E2F2	example1
FAM201A	example1
PTPRB	example1
AZIN2	example1
RRAD	example1
BTN3A1	example1
MARCH1	example1
ZNF552	example1
LINC01410	example1
ZNF595	example1
HOXA10	example1
PCDH7	example1
SGK3	example1
LINC01468	example1
IFIH1	example1
LINC01123	example1
PRR5L	example1
TNS1	example1
SAMD9L	example1
WDR17	example1
ZNF738	example1
ANKLE1	example1
NPTX1	example1
FANCL	example1
HHIP	example1
HAS3	example1
ZNF365	example1
CHML	example1
OBSCN	example1
LINC01139	example1
ZBED3	example1
TRAM1L1	example1
ERAP2	example1
GPR37	example1
DDTL	example1
PTPRG-AS1	example1
C8orf59	example1
SNAP25	example1
NOG	example1
PPP1R3C	example1
ARL4A	example1
RNF207	example1
CAPS2	example1
STARD4-AS1	example1
PARP12	example1
C1QTNF6	example1
SLC6A15	example1
BTN3A3	example1
CRISPLD2	example1
PPP1R3E	example1
ZNF608	example1
TXNIP	example1
LINC00319	example1
PTPRR	example1
LOC100132352	example1
STAG3L2	example1
AREG	example1
TTN	example1
TRIM47	example1
NRARP	example1
C2orf68	example1
TRIM58	example1
SCAMP5	example1
NSMCE4A	example1
SPTB	example1
HEATR3	example1
CGNL1	example1
FUBP1	example1
MSR1	example1
SETD6	example1
EXO5	example1
SYNM	example1
BBS5	example1
TIFA	example1
XPA	example1
LOC101927045	example1
MRM1	example1
GAREML	example1
ZNF418	example1
FAM167A	example1
TXK	example1
LRRC16A	example1
ZHX2	example1
SNHG19	example1
LOC283922	example1
SNHG20	example1
EFNA4	example1
SGK494	example1
ZBTB25	example1
CHTOP	example1
SLIT2	example1
S1PR1	example1
FAM105A	example1
TRIM65	example1
SHTN1	example1
TFAP4	example1
ZNF514	example1
LRRC1	example1
HOXB13	example1
LMCD1	example1
ZNF33A	example1
SLC35G1	example1
TCF7	example1
PRIM1	example1
ABHD17C	example1
RGS7	example1
TRAF5	example1
PRKAR2B	example1
SAMD9	example1
IFIT2	example1
MIR17HG	example1
PARP10	example1
GPR173	example1
VCAN	example1
E2F8	example1
NKD2	example1
CORO1A	example1
ANKRD36	example1
AIM1	example1
ZC3HAV1L	example1
RPGR	example1
LRRC20	example1
WNT7B	example1
CORO6	example1
SYCP2L	example1
C16orf59	example1
PCDH9	example1
TMEM106A	example1
HELLS	example1
TVP23C	example1
FAM101A	example1
PER2	example1
B3GALNT1	example1
STAG3L3	example1
ABCG2	example1
HLTF	example1
SPAG1	example1
ANKS6	example1
PTGFR	example1
PFKFB2	example1
ZNF765	example1
NLRC5	example1
BTN3A2	example1
CENPP	example1
LINC00886	example1
TMEM198B	example1
SLC26A1	example1
SHC3	example1
APBB3	example1
TRIM66	example1
ZNF248	example1
HOXD4	example1
RAB6B	example1
AFAP1L1	example1
TRAF1	example1
TBC1D8	example1
CHST7	example1
LRIG3	example1
TBC1D32	example1
ORC1	example1
GATS	example1
KCNQ1OT1	example1
CSF1	example1
TTC12	example1
SLFNL1-AS1	example1
CDC7	example1
ASB16-AS1	example1
OSGEPL1	example1
PPP1R35	example1
ADAL	example1
TNFAIP8	example1
SH3D21	example1
BCL2L11	example1
SPIN3	example1
THRIL	example1
DDX17	example1
TIPIN	example1
TSEN2	example1
PCDH10	example1
ZNF302	example1
RGL3	example1
ANK2	example1
PLCB4	example1
TMEM178B	example1
NREP	example1
FAM84B	example1
EHD3	example1
RAB3D	example1
PRR16	example1
BRI3BP	example1
ZFC3H1	example1
XDH	example1
TRHDE-AS1	example1
TUBGCP5	example1
AAED1	example1
RBBP8	example1
GLIS1	example1
CCDC138	example1
GATA6	example1
CDCA7	example1
TSPAN15	example1
TNFRSF11B	example1
HNRNPH1	example1
DZIP1L	example1
NR2C1	example1
PSMG4	example1
MRE11A	example1
ANKRD36B	example1
ARL17A	example1
MSH2	example1
ACTR1B	example1
