	Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
NM_002858	816.95	769.12	577.06	864.68	654.35	665.41
NM_005050	96.35	98.55	129.06	192.69	136.78	82.72
NR_003256	158.65	148.45	80.94	95.31	99.22	101.28
NM_001040876	161.03	193.25	41.6	0	53.05	240.76
NM_002940	1330.7	1539.33	1131.4	2282	2095.78	1557.99
NM_001025091	1734	1919	1333	2891	2637	2241
NM_001090_5	0	0	0	0	0	0
NM_005692	386.75	502.58	375.64	798.95	704.27	575.6
NM_007189	638.25	690.42	422.36	869.05	798.73	684.4
NM_018358	768	790	543	1271	1106	931
NM_004915	0	0	0	0	0	0
NM_016818	0	0	0	0	0	0
NM_207174	0	0	0	0	0	0
NM_207627	0	0	0	0	0	0
NM_207628	0	0	0	0	0	0
NM_207629	2	2	0	6	3	5
NM_001257386	20.33	0	8.55	0	0	0
NM_004827	53.67	71	40.45	68	55	63
NM_001142505	10	9	0	4	2	6
NM_022169	0	0	9	0	0	0
NM_022436	0	0	1	0	0	0
NM_022437	0	0	0	0	0	0
NM_032604	2	0	0	0	0	0
NM_001272069	0	0	0	0	25.43	30.08
NM_018394	417.58	437.44	282.74	706	660.7	582.17
NR_073570	17.42	12.74	0	0	14.88	21.09
NR_073571	0	10.81	18.26	0	0	14.66
NM_001145364	5.48	40.3	0	51.93	52.32	0
NM_001301058	0	6.93	0	12.09	0	0
NM_148912	51.11	26.78	0	59.24	57.68	87.33
NM_148913	0	0	29.85	0	0	0
NR_026910	0	0	0	0	0	0
NR_026912	14.41	0	13.15	16.74	0	20.67
NR_026690	4	5	3	0	1	0
NM_001042472	1015.05	1166.32	811.76	528.83	524.06	436.09
NM_015600	57.95	100.68	39.24	22.17	35.94	36.91
NM_001206673	0	0	0	0	1	0
NM_181814	3	2	1	1	0	2
NM_032859	315	347	246	429	416	341
NM_015407	81	101.71	71	84.25	59.28	73.14
NR_037192	43.89	7.46	0	43.42	26.73	48.15
NM_001146314	139.97	187.23	119.13	150.72	211.43	142.81
NM_001254753	34.62	34.59	19.99	23.24	12.24	0
NM_032750	49.41	17.18	24.87	73.04	53.33	107.19
NM_198147	295	292	238	282	279	240
NM_001177515	12	0	9.67	0	0	0
NM_021160	426.36	524.81	380.33	545	500.55	445
NR_033488_3	0	20.2	0	0	5.45	0
NR_033489_3	40.65	51.99	0	0	0	0
NM_080622	60	58	34	143	104	94
NM_001130111	1324.03	1508.89	1051.18	1651.36	1569.66	1415.82
NM_031213	13.97	7.11	6.82	20.64	21.34	7.18
NM_001025780	203.23	215.41	162.57	298.73	235.72	176.81
NM_016014	19.77	17.59	8.43	10.27	30.28	20.19
NM_021214	345	373	254	96	94	86
NM_007011	34.35	17.38	0	37.57	17.33	34.07
NM_152924	802.67	1054.23	791.13	1131.08	1042.26	906.36
NM_001308256	0	32.73	17.22	0	0	0
NM_001308257	19.72	22.45	5.77	0	5.21	4.45
NM_138340	80.28	64.81	60	70	82.79	57.55
NM_022060	875	982	679	228	270	217
NM_016006	801	817	595	730	786	632
NM_020676	189	224	154	234	266	214
NM_024527	297	328	197	172	166	162
NM_001012750	129.84	0	93.69	0	0	0
NM_001012751	6.3	0	2.12	0	0	0
NM_001012752	418.45	497.79	298.57	743.14	825.9	726.11
NM_001178116	0	0	0	0	0	5.76
NM_001178119	146.8	335.97	193.3	64.1	0	190.24
NM_001178120	6.94	0	4.42	0	0	0
NM_001178121	24.36	0	15.21	160.06	96.07	0
NM_001178122	0	0	13.23	31.4	21.61	11.45
NM_001178123	0	0	0	0	0	0
NM_001178124	0	0	0	0	14.19	11.44
NM_001178125	0	0	0	0	0	0
NM_005470	0	0	0	0	12.67	0
NM_001282925	0	0	0	0	0	0
NM_001282926	0	0	0	0	82.95	0
NM_001282927	243.17	145.31	85.3	58.8	203.25	80.49
NM_001282932	0	27.61	0	80.39	0	83.85
NM_005759	861.83	1117.08	846.7	1078.81	846.8	1024.67
NM_001135186	9	13.73	0	17.73	7	0
NM_016428	0	0	8	0	0	18
NM_015429	98	133	92	6	10	6
NM_005157	1273.63	1656.37	1436.54	711.12	658.85	767.66
NM_007313	1447.37	1420.63	796.46	1477.88	1225.15	1027.34
NM_001136000	60.9	0.01	129.87	82.22	0	2.43
NM_001136001	0	7.45	6	0	0	0
NM_001168236	89.8	138.37	42.23	155.5	213.91	234.23
NM_001168237	0	0.01	0.01	0	0	0.53
NM_001168238	53.31	0.02	81.91	49.94	0	1.93
NM_001168239	433.11	683.13	298.1	1137.53	1402.29	1005.16
NM_005158	103.88	48.14	65.88	259.81	34.8	320.88
NM_007314	0	74.14	0.01	0	199.79	64.83
NM_001003407	0	258.55	0	0	0	0
NM_001003408	0	0	0	0	0	0
NM_002313	227.28	0	180.65	179	253	214.57
NM_006720	78.72	111.45	69.35	104	0	42.43
NM_001130083	0	0	0	0	0	0
NM_001130084	0	0	0	0	0	0
NM_001130085	0	0	0	0	0	0
NM_001130086	0	0	0	0	0	0
NM_001130087	0	0	0	0	0	0
NM_001130088	1	0	0	6	4	3
NM_001286688	0	0	2	0	0	0
NM_032432	0	0	0	0	0	0
NM_001301015	0	0	0	0	0	0
NM_001301018	630.92	739.16	542.98	1518.33	1437.65	1400.04
NM_001301027	543.59	719.4	424.12	1678.83	1811.38	1370.3
NM_001301028	74.68	51.31	21.67	336.69	263.44	265.28
NM_014945	113.81	140.12	120.23	496.15	443.53	428.38
NM_020469	0	0	0	0	0	0
NM_001092	1280.22	1266.87	988.12	2577.48	2303.55	1893.82
NM_001159746	0	13.88	0	47.72	23.29	48.49
NM_001256847	71.82	104.71	36.99	0	0	0
NM_001282149	0	0	0	0	0	21.5
NM_021962	451.96	637.54	385.89	662.81	695.16	705.19
NM_139166	0	0	0	0	0	0
NM_021243	651	720	437	878	885	650
NM_013375	419	400	295	654	496	458
NM_032548	20.04	0	0	13.42	33.69	20.79
NM_172027	214.63	241	95.46	173.55	178.02	137.38
NR_033429	44.33	0	83.54	58.03	16.3	51.83
NM_145804	86	117	74	265	276	240
NM_001130410	18.03	9.57	7.78	38.43	17.11	22.91
NM_001607	457.92	570.65	373.77	634.05	600.22	558.62
NR_024024	129.05	33.79	26.45	115.51	40.67	47.47
NM_006111	906	949	669	482	374	378
NM_198834	580.18	306.79	404.86	588.54	553.81	369.51
NM_198836	557.11	974.21	447.6	1017.9	770.19	889.07
NM_198837	0	0	0	0	0	0
NM_198838	0	0	27.9	0	0	0
NM_198839	15.71	0	14.65	28.57	0	31.42
NM_001093	115	84	70	155	133	91
NM_001136538	29.85	35.38	0	0	59.53	0
NM_025247	187.15	187.62	160	167	71.47	123
NM_032169	336.43	336.2	242	471.99	302.76	338.24
NM_014384	244	248	156	484	328	346
NM_014049	428.43	490.5	319.8	415.56	351.38	328.28
NR_033426	101.57	110.5	23.2	123.44	119.62	81.72
NM_001608	0	0	0	0	0	0
NM_000016	522.73	515.93	318.5	551.67	531.59	501.68
NM_001127328	0	0	14.88	0	40.56	0
NM_001286042	61.27	90.07	88.62	16.3	9.85	36.32
NM_001286043	0	0	0	14.03	0	0
NM_001286044	0	0	0	0	0	0
NM_000017	53	74	37	19	0	16
NM_001302554	0	0	0	0	17	0
NM_001609	277	320	236	166	140	131
NM_000018	3099.29	3001.83	1815.83	4093.63	3351.15	2917.06
NM_001033859	151.81	58.05	46.76	204.08	65.53	116.31
NM_001270447	0	0	0	0	0	61.84
NM_001270448	280.38	299.91	231.2	884.93	731.95	768.35
NM_001135	0	0	0	2	0	0
NM_013227	0	0	0	0	0	1
NM_014716	6	3	2	6	7	3
NM_012287	1690	1861	1340	1813	1933	1574
NM_030649	1091	893	600	1113	673	655
NM_000019	767	927	621	594	583	485
NM_001303253	28.28	45.92	5.18	16.55	5.65	10.57
NM_005891	627.94	737.05	461.66	711.73	479.13	695.2
NM_022735	1934	2073	1371	2477	2230	2122
NM_001135704	7.93	6.78	4.68	0	12.5	4.43
NM_001135705	0	0	13.9	0	0	8.23
NM_001135706	32.89	38.83	0	24	0	0
NM_001135707	8.12	5.22	0	0	3.78	4.7
NM_024722	12.06	11.17	15.42	0	6.73	12.64
NM_001042473	297.55	112.49	238.37	139.51	138.74	148.21
NM_001271512	90.93	141.42	190.08	164.42	180.57	115.29
NM_001301251	0	0.01	8.68	9.22	0	0
NM_001301252	0	0.03	8.87	13.56	0	0
NM_001301253	18.7	0	0	0	43.33	0
NM_001301254	0	23.81	0	0	0	0
NM_145698	191.82	291.24	0	225.29	147.36	130.5
NM_032360	801	815	590	685	579	530
NM_001039844	32	30	22	3	5	2
NM_001127219	0	0	2.82	0.63	2.73	4.81
NM_032592	25	27	14.18	28.37	21.27	14.19
NM_001031854	0	0	0	0	0	0
NM_001082486	170	170	120	169	163.58	150
NM_001082487	0	0	0	0	0	0
NM_022914	0	0	0	0	11.42	0
NM_000789	50	41	37	160.77	97.61	164
NM_001178057	0	0	0	0	0	0
NM_152830	0	0	0	23.23	26.39	0
NM_021804	1	0	0	0	0	0
NM_133492	0	0	0	0	1	0
