,condition,genotype
day0-WT_1,day0,WT
day0-WT_2,day0,WT
day1-WT_1,day1,WT
day1-WT_2,day1,WT
day5-WT_1,day5,WT
day5-WT_2,day5,WT
day0-KO_1,day0,KO
day0-KO_2,day0,KO
day1-KO_1,day1,KO
day1-KO_2,day1,KO
day5-KO_1,day5,KO
day5-KO_2,day5,KO
